Collection,Code,Description 1 ,Description 2 ,Dimension,Profile,Finish,Description 6,Description 7,Product Name,Format,Format 2,Width,Width in inch,Thickness,Thickness in inch,Grade,Construction,,Tone,Code.1
AGED,PDQCH04,Lauzes Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Lauzes,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Light,PDQCH04
AGED,PDQ004,Lauzes Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Lauzes,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Light,PDQ004
AGED,PDQB004,Lauzes Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Lauzes,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Light,PDQB004
AGED,PDQP004,Lauzes Parquet de Versailles ,"Aged French Oak, UKTR Compliant","980 x 20 x 980, 2Ply Engineered","Tongue & Grooved, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Lauzes,Parquet De Versailles Panel,Parquet De Versailles,980mm,39'',20mm,"3/4""",Rustic,2Ply Engineered,,Light,PDQP004
AGED,PDQ023,Mauroux Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Organic Oil Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Mauroux,Extra Wide Plank,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,,PDQ023
AGED,PDQCH02,Miellin Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Miellin,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQCH02
AGED,PDQ002,Miellin Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Miellin,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQ002
AGED,PDQB002,Miellin Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Miellin,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQB002
AGED,PDQP002,Miellin Parquet de Versailles ,"Aged French Oak, UKTR Compliant","980 x 20 x 980, 2Ply Engineered","Tongue & Grooved, Soft Rolled Edges",Burnished Hardwax Oil Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Miellin,Parquet De Versailles Panel,Parquet De Versailles,980mm,39'',20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQP002
AGED,PDQCH06,Quissac Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Quissac,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Dark,PDQCH06
AGED,PDQ006,Quissac Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Quissac,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Dark,PDQ006
AGED,PDQB006,Quissac Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Quissac,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Dark,PDQB006
AGED,PDQP006,Quissac Parquet de Versailles ,"Aged French Oak, UKTR Compliant","980 x 20 x 980, 2Ply Engineered","Tongue & Grooved, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Quissac,Parquet De Versailles Panel,Parquet De Versailles,980mm,39'',20mm,"3/4""",Rustic,2Ply Engineered,,Dark,PDQP006
AGED,PDQ021,Rouby Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Naked Skin Lacquer Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Rouby,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,White ,PDQ021
AGED,PDQCH01,Velentre Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Velentre,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQCH01
AGED,PDQ001,Velentre Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Velentre,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQ001
AGED,PDQB001,Velentre Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Velentre,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQB001
AGED,PDQP001,Velentre Parquet de Versailles,"Aged French Oak, UKTR Compliant","980 x 20 x 980, 2Ply Engineered","Tongue & Grooved, Soft Rolled Edges",Burnished Hardwax Oil Satin,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Velentre,Parquet De Versailles Panel,Parquet De Versailles,980mm,39'',20mm,"3/4""",Rustic,2Ply Engineered,,Medium,PDQP001
AGED,PDQCH08,Villes Chevron,"Aged French Oak, UKTR Compliant","90 x 20 x 595, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Naked Skin Lacquer Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Villes,Chevron   ,Chevron,90mm,3.5'',20mm,"3/4""",Rustic,2Ply Engineered,,Neutral,PDQCH08
AGED,PDQ008,Villes Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Soft Rolled Edges",Naked Skin Lacquer Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Villes,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Rustic,2Ply Engineered,,Neutral,PDQ008
AGED,PDQB008,Villes Herringbone,"Aged French Oak, UKTR Compliant","100 x 20 x 500, 2Ply Engineered","Grooved 3 Sides, Soft Rolled Edges",Naked Skin Lacquer Super Matt,"Skip Sawn, Scrubbed Knots, Undulating ",Woodworks - Aged,Villes,Herringbone   ,Herringbone,100mm,"4""",20mm,"3/4""",Rustic,2Ply Engineered,,Neutral,PDQB008
AGED,PDQ030,Charente Extra Wide Plank,"Aged French Oak, UKTR Compliant","220 x 20 x 0.6-2.20m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Burnished Hardwax Oil Matt,Hand Polished Undulations,Woodworks - Aged,Charente,Extra Wide Plank ,Plank,220mm,"8.5""",20mm,"3/4""",Barn,2Ply Engineered,,,PDQ030
ANTIQUE,Antiq005,Babington Chevron,Antique French Oak,"85 x 20 x 595, 2Ply Engineered","Tongue & Grooved and Loose Tongues, Ends Matched, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Babington,Chevron   ,Chevron,85mm,3.5'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq005
ANTIQUE,Antiq047,Babington Diagonal 8 Tile Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Babington,Diagonal 8 Tile Parquet De Versailles Panel,8 Tile Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq047
ANTIQUE,Antiq004,Babington Narrow Herringbone,Antique French Oak,"70 x 20 x 350, 2Ply Engineered","Grooved 3 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Babington,Narrow Herringbone  ,Herringbone,70mm,2.75'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq004
ANTIQUE,Antiq048,Babington Parquet De Chantilly,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Babington,Parquet De Chantilly Panel   ,Parquet De Chantilly,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq048
ANTIQUE,Antiq046,Babington Parquet De Chevney,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Babington,Parquet De Chevney Panel   ,Parquet De Chevney,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq046
ANTIQUE,Antiq006,Babington Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Babington,Parquet De Versailles Panel   ,Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq006
ANTIQUE,Grand011,Babington Random Width Plank,Antique French Oak,"80-160 x 20 x 0.6-3m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Babington,Random Width Planks,Plank,80-160mm,3''-6.9'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Grand011
ANTIQUE,Antiq060,Dampier Chevron,Antique French Oak,"85 x 20 x 595, 2Ply Engineered","Tongue & Grooved and Loose Tongues, Ends Matched, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Chevron   ,Chevron,85mm,3.5'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq060
ANTIQUE,Antiq056,Dampier Diagonal 8 Tile Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Diagonal 8 Tile Parquet De Versailles Panel,8 Tile Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq056
ANTIQUE,Antiq059,Dampier Narrow Herringbone,Antique French Oak,"70 x 20 x 350, 2Ply Engineered","Grooved 3 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Narrow Herringbone  ,Herringbone,70mm,2.75'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq059
ANTIQUE,Antiq057,Dampier Parquet De Chantilly,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Parquet De Chantilly Panel   ,Parquet De Chantilly,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq057
ANTIQUE,Antiq055,Dampier Parquet De Chevney,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Parquet De Chevney Panel   ,Parquet De Chevney,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq055
ANTIQUE,Antiq061,Dampier Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Parquet De Versailles Panel   ,Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq061
ANTIQUE,Antiq058,Dampier Random Width Plank,Antique French Oak,"100-170 x 20 x 0.6-3.0m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Random Width Planks,Plank,100-170mm,4''-6.7'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Medium,Antiq058
ANTIQUE,Antiq058W,Dampier Random Width Plank,Antique French Oak,"180-240 x 20 x 0.6-3.0m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Dampier,Random Width Planks,Plank,180-240mm,7''-9.4'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,,Antiq058W
ANTIQUE,Antiq020,Fortnum Chevron,Antique French Oak,"85 x 20 x 595, 2Ply Engineered","Tongue & Grooved and Loose Tongues, Ends Matched, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Chevron   ,Chevron,85mm,3.5'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Dark,Antiq020
ANTIQUE,Antiq039,Fortnum Diagonal 8 Tile Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Diagonal 8 Tile Parquet De Versailles Panel,8 Tile Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Dark,Antiq039
ANTIQUE,Antiq019,Fortnum Narrow Herringbone,Antique French Oak,"70 x 20 x 350, 2Ply Engineered","Grooved 3 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Narrow Herringbone  ,Herringbone,70mm,2.75'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Dark,Antiq019
ANTIQUE,Antiq040,Fortnum Parquet De Chantilly,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Parquet De Chantilly Panel   ,Parquet De Chantilly,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Dark,Antiq040
ANTIQUE,Antiq038,Fortnum Parquet De Chevney,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Parquet De Chevney Panel   ,Parquet De Chevney,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Dark,Antiq038
ANTIQUE,Grand001,Fortnum Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Parquet De Versailles Panel   ,Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Dark,Grand001
ANTIQUE,Antiq018W,Fortnum Random Width Plank,Antique French Oak,"180-240 x 20 x 0.6-3.0m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Random Width Planks,Plank   ,180-240mm,7''-9.4'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,,Antiq018W
ANTIQUE,Antiq018,Fortnum Random Width Plank,Antique French Oak,"100-170 x 20 x 0.6-3.0m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Burnished Hardwax Oil Satin,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Fortnum,Random Width Planks,Plank,100-170mm,4''-6.7'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Dark,Antiq018
ANTIQUE,Antiq026,Franklin Chevron,Antique French Oak,"85 x 20 x 595, 2Ply Engineered","Tongue & Grooved and Loose Tongues, Ends Matched, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Chevron   ,Chevron,85mm,3.5'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Neutral,Antiq026
ANTIQUE,Antiq044,Franklin Diagonal 8 Tile Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Diagonal 8 Tile Parquet De Versailles Panel,8 Tile Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Neutral,Antiq044
ANTIQUE,Antiq025,Franklin Narrow Herringbone,Antique French Oak,"70 x 20 x 350, 2Ply Engineered","Grooved 3 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Narrow Herringbone  ,Herringbone,70mm,2.75'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Neutral,Antiq025
ANTIQUE,Antiq045,Franklin Parquet De Chantilly,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Parquet De Chantilly Panel   ,Parquet De Chantilly,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Neutral,Antiq045
ANTIQUE,Antiq043,Franklin Parquet De Chevney,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Parquet De Chevney Panel   ,Parquet De Chevney,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Neutral,Antiq043
ANTIQUE,Antiq027,Franklin Parquet De Versailles,Antique French Oak,"980 x 20 x 980, 2Ply Engineered","Grooved 4 Sides, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Parquet De Versailles Panel   ,Parquet De Versailles,980mm,39'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Neutral,Antiq027
ANTIQUE,Antiq024,Franklin Random Width Plank,Antique French Oak,"100-170 x 20 x 0.6-3.0m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Random Width Planks,Plank,100-170mm,4''-6.7'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,Neutral,Antiq024
ANTIQUE,Antiq024W,Franklin Random Width Plank,Antique French Oak,"180-240 x 20 x 0.6-3.0m, 2Ply Engineered","Tongue & Grooved, Ends Matched, Hand Rolled Edges",Naked Skin Lacquer Super Matt,"Original Patina, Hand Polished Undulations ",Woodworks - Antique,Franklin,Random Width Planks,Plank,180-240mm,7''-9.4'',20mm,"3/4""",Genuine Antique Sourced,2Ply Engineered,,,Antiq024W
